,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
344,San Quintín,MX,30.4833,-115.95,65.46,43,0,6.46,clear sky
345,São Francisco de Paula,BR,-29.4481,-50.5836,62.01,85,29,3.0,scattered clouds
346,Mwense,ZM,-10.3845,28.698,66.13,94,100,4.34,overcast clouds
347,Vila Velha,BR,-20.3297,-40.2925,77.0,88,20,4.61,few clouds
348,Carutapera,BR,-1.195,-46.02,78.28,80,91,7.61,overcast clouds
349,Fare,PF,-16.7,-151.0167,81.25,76,0,15.28,clear sky
350,Acapulco de Juárez,MX,16.8634,-99.8901,80.6,78,90,8.05,overcast clouds
351,Tupik,RU,54.4253,119.9327,-26.27,79,0,1.63,clear sky
352,Itaituba,BR,-4.2761,-55.9836,80.6,83,75,1.43,broken clouds
353,Hong Kong,HK,22.2855,114.1577,63.0,59,0,7.85,clear sky
354,Lompoc,US,34.6391,-120.4579,71.6,56,1,8.05,clear sky
355,Escárcega,MX,18.6089,-90.7454,69.42,89,100,2.28,overcast clouds
356,Mahon,ES,39.8885,4.2658,44.6,87,0,6.91,clear sky
357,Alekseyevka,RU,50.6309,38.6903,14.09,95,36,2.19,scattered clouds
358,Mildura,AU,-34.2,142.15,66.99,42,75,13.8,broken clouds
359,Colares,PT,38.7992,-9.4469,55.0,93,76,14.88,broken clouds
360,Najrān,SA,17.4924,44.1277,53.6,35,0,1.07,clear sky
361,Voyvozh,RU,62.892,54.9635,1.72,94,100,7.47,light snow
362,North Platte,US,41.1239,-100.7654,35.6,41,75,23.02,broken clouds
363,Talnakh,RU,69.4865,88.3972,-41.84,78,16,0.51,few clouds
364,Christchurch,NZ,-43.5333,172.6333,73.0,64,75,9.22,broken clouds
365,Bereda,ES,43.2686,-7.5406,41.0,100,25,0.92,scattered clouds
366,Emmaus,US,40.5395,-75.4968,39.99,81,1,3.38,clear sky
367,Makkah al Mukarramah,SA,21.4267,39.8261,71.22,82,0,2.73,clear sky
368,Meulaboh,ID,4.1363,96.1285,76.8,80,98,3.42,moderate rain
369,Poum,NC,-20.2333,164.0167,79.36,87,100,13.76,light rain
370,Hambantota,LK,6.1241,81.1185,73.4,100,90,2.3,overcast clouds
371,Diffa,NE,13.3154,12.6113,64.96,32,19,10.49,few clouds
372,Acaraú,BR,-2.8856,-40.12,78.48,80,40,12.77,scattered clouds
373,Walvis Bay,NA,-22.9575,14.5053,71.01,77,100,2.3,overcast clouds
374,Ivanjica,RS,43.5803,20.2311,30.2,86,75,1.14,broken clouds
375,Rexburg,US,43.826,-111.7897,21.2,73,1,1.77,clear sky
376,Plátanos,GR,37.6667,21.6167,55.4,76,47,5.75,scattered clouds
377,Mehamn,NO,71.0357,27.8492,32.25,96,100,4.56,light snow
378,Waddān,LY,29.1614,16.139,48.51,61,0,3.09,clear sky
379,Marrakesh,MA,31.6315,-8.0083,41.0,81,0,4.61,clear sky
380,Motala,SE,58.5371,15.0365,15.8,79,2,6.91,clear sky
381,Encruzilhada do Sul,BR,-30.5439,-52.5219,61.14,91,10,8.7,clear sky
382,Victor Harbor,AU,-35.5667,138.6167,64.0,52,6,4.0,clear sky
383,Arman',RU,59.7,150.1667,-16.06,78,0,6.24,clear sky
384,Kurumkan,RU,54.3,110.3,-16.01,81,94,2.21,overcast clouds
385,Semey,KZ,50.4111,80.2275,-31.0,68,0,4.47,clear sky
386,Labuhan,ID,-6.8844,112.2051,79.9,80,100,10.63,light rain
387,Sawākin,SD,19.1059,37.3321,76.03,77,0,1.05,clear sky
388,Pundaguitan,PH,6.3711,126.1689,82.94,73,47,3.44,light rain
389,Rincon,US,32.296,-81.2354,48.2,66,1,5.75,clear sky
390,Logon,PH,11.3303,124.1146,79.57,78,0,8.79,clear sky
391,Northam,GB,51.0333,-4.2167,46.0,88,100,7.0,overcast clouds
392,Vilhena,BR,-12.7406,-60.1458,70.77,95,100,2.04,moderate rain
393,Cidreira,BR,-30.1811,-50.2056,71.89,75,11,18.57,few clouds
394,Onega,RU,63.9061,38.1404,-16.17,88,13,2.33,few clouds
395,Malinovskiy,RU,61.1953,62.8397,-4.54,91,100,8.68,overcast clouds
396,Stoughton,US,42.1251,-71.1023,37.99,93,90,3.44,light rain
397,Mulanje,MW,-16.0316,35.5,71.49,85,100,2.08,overcast clouds
398,Guangzhou,CN,23.1167,113.25,51.8,58,20,2.24,few clouds
399,Bosaso,SO,11.2842,49.1816,71.2,75,13,1.3,few clouds
400,Lensk,RU,60.7253,114.9278,-3.87,89,100,5.86,overcast clouds
401,Kizhinga,RU,51.8462,109.9097,-6.03,87,100,7.61,overcast clouds
402,Saint George,US,37.1041,-113.5841,60.8,16,1,6.91,clear sky
403,Sartell,US,45.6216,-94.2069,33.8,86,90,9.22,light snow
404,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,5.0,61,34,4.47,scattered clouds
405,San Francisco,US,37.7749,-122.4194,66.2,55,40,8.95,scattered clouds
406,Vitim,RU,59.4511,112.5578,-1.05,89,100,11.1,light snow
407,Abalak,RU,58.1286,68.5944,-12.6,86,100,7.67,overcast clouds
408,Jining,CN,35.405,116.5814,41.0,1,100,1.99,overcast clouds
409,Olinda,BR,-8.0089,-34.8553,78.8,69,40,6.91,scattered clouds
410,Puerto Colombia,CO,10.9878,-74.9547,78.8,83,0,10.36,clear sky
411,Muros,ES,42.7762,-9.0603,50.0,93,57,5.1,broken clouds
412,Denpasar,ID,-8.65,115.2167,82.4,89,75,8.05,broken clouds
413,Vasai,IN,19.47,72.8,73.4,83,0,5.66,mist
414,Richards Bay,ZA,-28.783,32.0377,75.47,81,76,10.98,broken clouds
415,Russell,US,32.3502,-85.1999,51.8,66,1,5.75,clear sky
416,Falam,MM,22.9167,93.6833,48.63,92,95,0.43,overcast clouds
417,Broome,US,42.2506,-75.833,35.01,93,90,0.56,mist
418,Vila,PT,42.0304,-8.1588,43.0,90,4,1.01,clear sky
419,Esil,KZ,51.9556,66.4042,-0.44,85,78,16.17,broken clouds
420,Kamina,CD,-8.7386,24.9906,64.22,100,100,5.21,moderate rain
421,Gizo Government Station,SB,-8.103,156.8419,86.07,67,45,8.57,scattered clouds
422,Xunchang,CN,28.4543,104.715,45.19,75,83,1.07,broken clouds
423,Shahr-e Bābak,IR,30.1165,55.1186,41.92,51,100,5.41,overcast clouds
424,Forsytheganj,BY,52.6333,29.7333,8.37,94,99,7.81,overcast clouds
425,San Cristobal,VE,7.7669,-72.225,65.59,84,50,1.05,scattered clouds
426,Arrondissement de Castres,FR,43.5833,2.1667,46.99,93,90,19.57,overcast clouds
427,Yantal',RU,56.8471,105.2542,0.64,89,100,12.84,overcast clouds
428,Monroe,US,43.1501,-77.6831,37.99,93,90,3.24,overcast clouds
429,Joensuu,FI,62.6012,29.7632,-20.2,76,0,5.75,clear sky
430,Iracoubo,GF,5.4802,-53.2011,76.78,88,76,12.62,broken clouds
431,Vlašim,CZ,49.7063,14.8988,30.2,86,90,14.97,overcast clouds
432,Huarmey,PE,-10.0681,-78.1522,70.47,82,100,5.06,overcast clouds
433,Arraial do Cabo,BR,-22.9661,-42.0278,75.92,89,49,16.67,scattered clouds
434,Santiago del Estero,AR,-27.7951,-64.2615,82.0,77,0,4.0,clear sky
435,Nkoteng,CM,4.5167,12.0333,71.56,86,94,2.46,overcast clouds
436,Cabedelo,BR,-6.9811,-34.8339,78.8,83,20,8.05,few clouds
437,Stokmarknes,NO,68.5646,14.9108,37.99,88,100,7.0,light snow
438,Gampola,LK,7.1643,80.5696,69.01,88,100,2.77,overcast clouds
439,Şile,TR,41.1754,29.6133,41.0,81,75,3.44,broken clouds
440,Belyy Yar,RU,53.6039,91.3903,-0.4,65,100,13.42,overcast clouds
441,Palmer,US,42.1584,-72.3287,35.01,93,90,4.61,mist
442,Sabang,ID,5.8933,95.3214,80.82,81,58,15.23,broken clouds
443,Raymond,US,43.9015,-70.4703,32.0,86,1,3.04,clear sky
444,Ixtapa,MX,20.7,-105.2,71.6,83,20,5.75,few clouds
445,Nome,US,64.5011,-165.4064,17.6,79,90,8.05,overcast clouds
446,Namuac,PH,18.6109,121.1657,73.42,85,99,11.92,light rain
447,Praia da Vitória,PT,38.7333,-27.0667,62.6,88,75,27.0,broken clouds
448,Bilibino,RU,68.0546,166.4372,-22.67,83,100,0.65,overcast clouds
449,Sioux Lookout,CA,50.1001,-91.917,32.0,86,90,4.61,overcast clouds
450,Burns Lake,CA,54.2331,-125.7533,30.2,64,100,3.44,overcast clouds
451,Manzanillo,CU,20.3433,-77.1167,74.01,79,72,3.67,broken clouds
452,Luwingu,ZM,-10.2621,29.9271,62.8,96,100,8.3,light rain
453,Grindavik,IS,63.8424,-22.4338,37.4,87,75,17.27,light rain
454,Orimattila,FI,60.8049,25.7296,-7.6,77,0,9.22,clear sky
455,Jati,PK,24.3539,68.2671,58.17,35,1,7.36,clear sky
456,Coruripe,BR,-10.1256,-36.1756,78.53,78,38,14.25,scattered clouds
457,Jilib,SO,0.4883,42.7854,71.94,90,11,5.59,few clouds
458,Nakkila,FI,61.3667,22.0,-9.4,84,0,3.44,clear sky
459,Gazli,UZ,40.1333,63.45,39.92,67,0,13.18,clear sky
460,Tual,ID,-5.6667,132.75,83.71,76,100,12.97,overcast clouds
461,Bechem,GH,7.0903,-2.025,71.29,79,1,2.95,clear sky
462,Languyan,PH,5.2618,120.0807,82.09,81,99,7.34,overcast clouds
463,Jumla,NP,29.2747,82.1838,44.06,34,51,3.2,broken clouds
464,Golyshmanovo,RU,56.3979,68.3728,-14.28,86,100,9.08,overcast clouds
465,Poso,ID,-1.3959,120.7524,81.79,76,70,4.74,light rain
466,Pangoa,PE,-12.1167,-73.0,69.62,92,99,1.12,light rain
467,Olafsvik,IS,64.8945,-23.7142,40.28,71,30,22.97,scattered clouds
468,Waitati,NZ,-45.75,170.5667,71.92,60,37,7.0,scattered clouds
469,Dobre Miasto,PL,53.9867,20.3975,17.6,86,0,5.75,clear sky
470,Kutum,SD,14.2,24.6667,53.55,40,41,9.55,scattered clouds
471,Shimoda,JP,34.6667,138.95,50.0,71,75,18.41,broken clouds
472,Flinders,AU,-34.5833,150.8552,80.01,66,4,3.0,clear sky
473,Deputatsky,RU,69.3,139.9,-18.13,89,100,4.21,overcast clouds
474,Safranbolu,TR,41.2508,32.6942,27.93,94,100,0.98,overcast clouds
475,Kristiansund,NO,63.1115,7.732,24.8,86,90,6.91,overcast clouds
476,West Wendover,US,40.7391,-114.0733,42.8,39,1,5.75,clear sky
477,Pangnirtung,CA,66.1451,-65.7125,-7.55,69,0,2.21,clear sky
478,Kidal,ML,18.4411,1.4078,67.42,22,0,11.61,clear sky
479,Raudeberg,NO,61.9875,5.1352,32.0,87,58,5.73,broken clouds
480,Linhai,CN,28.85,121.1167,50.0,68,0,2.01,clear sky
481,Manado,ID,1.487,124.8455,78.8,94,75,2.3,moderate rain
482,Matagami,CA,49.7502,-77.6328,24.8,100,90,1.77,overcast clouds
483,Shache,CN,38.4167,77.2406,21.63,79,0,4.52,clear sky
484,Kasongo-Lunda,CD,-6.4667,16.8167,67.93,92,100,0.4,overcast clouds
485,Esmeraldas,BR,-19.7625,-44.3139,77.0,61,0,9.22,clear sky
486,Sabzawār,IR,36.2126,57.6819,41.45,47,100,1.97,overcast clouds
487,Domodossola,IT,46.1165,8.2931,44.6,53,75,4.61,broken clouds
488,Kirakira,SB,-10.4544,161.9205,85.59,64,51,8.05,broken clouds
489,Hammerfest,NO,70.6634,23.6821,33.8,93,75,8.05,light rain and snow
490,Hay River,CA,60.8156,-115.7999,3.2,85,17,1.14,few clouds
491,Iaçu,BR,-12.7672,-40.2117,72.05,85,100,6.33,overcast clouds
492,Fort Saint James,CA,54.4333,-124.25,24.28,93,100,7.34,overcast clouds
493,Tawang Town,IN,27.5833,91.8667,35.71,76,29,2.48,scattered clouds
494,Bambanglipuro,ID,-7.95,110.2833,80.33,69,100,3.67,heavy intensity rain
495,Turukhansk,RU,65.8167,87.9833,-41.24,80,18,3.15,few clouds
496,Vikhorevka,RU,56.1201,101.1636,3.2,78,75,17.9,snow
497,Rosa Zarate,EC,0.3333,-79.4667,74.41,92,100,2.17,light rain
498,Pangkalanbuun,ID,-2.6833,111.6167,74.28,95,100,1.66,light rain
499,Salalah,OM,17.0151,54.0924,73.4,14,0,8.05,clear sky
500,Vao,NC,-22.6667,167.4833,77.49,91,100,14.16,light rain
501,Kongolo,CD,-5.3833,27.0,67.24,95,100,2.8,light rain
502,Ekhabi,RU,53.5102,142.9671,-10.39,87,77,14.9,broken clouds
503,Oytal,KZ,42.9057,73.2697,25.93,82,0,4.29,clear sky
504,Miraflores,MX,19.2167,-98.8083,68.0,37,90,9.22,overcast clouds
505,Bulgan,MN,48.8125,103.5347,-9.76,84,80,3.06,broken clouds
506,Abu Kamal,SY,34.4506,40.9171,53.08,70,39,5.08,scattered clouds
507,Turaif,SA,31.6725,38.6637,42.8,100,0,11.5,clear sky
508,Chanal,MX,16.7167,-92.4,75.2,60,75,5.75,broken clouds
509,Kolokani,ML,13.5728,-8.0339,68.94,21,6,10.04,clear sky
510,Bria,CF,6.5423,21.9863,66.34,27,0,5.21,clear sky
511,Bubaque,GW,11.2833,-15.8333,78.17,64,24,8.86,few clouds
512,Katubao,PH,5.8892,124.8294,80.6,78,75,3.44,light rain
513,Savonlinna,FI,61.8699,28.88,-16.6,76,0,4.61,clear sky
514,Itoman,JP,26.1247,127.6694,68.0,77,75,8.05,broken clouds
515,Bella Union,UY,-30.2752,-57.6007,79.38,51,0,16.62,clear sky
516,Siddāpur,IN,14.3333,74.8833,71.44,69,67,7.31,broken clouds
517,Warwick,US,41.7001,-71.4162,41.0,81,90,5.75,overcast clouds
518,Henties Bay,NA,-22.116,14.2845,71.01,82,100,5.79,overcast clouds
519,Bilma,NE,18.6853,12.9164,62.2,30,0,6.53,clear sky
520,Flin Flon,CA,54.7682,-101.865,26.6,86,90,20.71,snow
521,Resistencia,AR,-27.4606,-58.9839,86.0,70,0,8.05,clear sky
522,Piaçabuçu,BR,-10.4056,-36.4344,78.84,79,20,13.38,few clouds
523,Sobradinho,BR,-12.8333,-39.1,72.81,93,37,3.65,scattered clouds
524,Balkanabat,TM,39.5108,54.3671,52.12,42,100,3.96,overcast clouds
525,Hirara,JP,24.8,125.2833,69.8,77,75,10.36,broken clouds
526,Togur,RU,58.3631,82.8265,-11.47,89,98,8.57,overcast clouds
527,Zayukovo,RU,43.6161,43.3339,37.4,100,90,4.47,fog
528,Bayan,CN,46.0833,127.4,-0.24,88,100,5.59,light snow
529,Bousso,TD,10.4795,16.7117,68.18,23,0,5.5,clear sky
530,Cachoeira,BR,-12.6183,-38.9558,73.74,88,88,3.76,overcast clouds
531,Departamento de Maldonado,UY,-34.6667,-54.9167,69.8,64,0,14.97,clear sky
532,Conceição do Araguaia,BR,-8.2578,-49.2647,76.3,87,100,3.18,light rain
533,Kendari,ID,-3.945,122.4989,82.87,83,100,2.64,moderate rain
534,Torbay,CA,47.6666,-52.7314,33.01,100,90,5.75,light snow
535,Chihuahua,MX,28.5,-106.0,66.2,13,1,10.36,clear sky
536,Lesozavodsk,RU,45.4794,133.4244,5.43,91,100,4.68,overcast clouds
537,Nantucket,US,41.2835,-70.0995,43.0,100,40,4.61,scattered clouds
538,Man,CI,7.4125,-7.5538,72.54,62,30,2.53,scattered clouds
539,Ýpsonas,CY,34.6884,32.9574,57.2,62,20,11.5,few clouds
540,Nexø,DK,55.0607,15.1306,32.0,86,90,3.44,overcast clouds
541,Butembo,CD,0.15,29.2833,61.02,69,100,1.81,overcast clouds
542,São Filipe,CV,14.8961,-24.4956,72.7,68,100,9.89,overcast clouds
543,Ketchikan,US,55.3422,-131.6461,42.8,87,90,21.85,mist
544,Batī,ET,11.1833,40.0167,54.52,55,8,0.76,clear sky
545,Springfield,US,37.2153,-93.2982,41.0,52,40,10.36,scattered clouds
546,Brownsville,US,25.9018,-97.4975,69.8,64,1,8.05,clear sky
547,Staicele,LV,57.8364,24.75,12.99,86,89,10.0,overcast clouds
548,Antofagasta,CL,-23.65,-70.4,64.4,72,75,11.5,broken clouds
549,Galesong,ID,-5.3166,119.3661,75.2,100,40,2.3,heavy intensity rain
550,Moyale,KE,3.5167,39.0584,70.32,36,100,8.01,overcast clouds
551,Ruiru,KE,-1.1606,36.9567,59.74,86,6,2.98,clear sky
552,Port Lincoln,AU,-34.7333,135.8667,62.01,52,40,21.39,scattered clouds
553,Brignoles,FR,43.4,6.0667,52.0,58,0,10.36,clear sky
554,Savannakhet,LA,16.566,104.751,59.0,88,40,2.3,mist
555,Antsohihy,MG,-14.8796,47.9875,76.03,91,100,1.77,overcast clouds
556,Catió,GW,11.2833,-15.25,70.11,77,0,5.23,clear sky
557,Rāvar,IR,31.2656,56.8055,45.19,44,97,1.66,overcast clouds
558,Ilhabela,BR,-23.7781,-45.3581,76.32,86,24,9.69,few clouds
559,Mīnāb,IR,27.1467,57.0801,46.4,71,0,2.3,clear sky
560,Anking,CN,30.5092,117.0506,50.09,51,0,0.47,clear sky
561,Vătava,RO,46.9667,24.7667,30.2,80,75,9.22,light snow
562,Piranhas,BR,-16.4269,-51.8222,75.78,77,100,1.52,light rain
563,Havøysund,NO,70.9963,24.6622,33.8,93,75,8.05,light rain and snow
564,Santa Lucía,ES,27.9117,-15.5407,62.6,63,75,21.85,broken clouds
565,Ifo,NG,6.8144,3.1958,77.25,85,0,1.39,clear sky
566,Melhus,NO,63.2855,10.2781,18.0,78,40,11.5,scattered clouds
567,Yeppoon,AU,-23.1333,150.7333,84.2,48,40,9.22,scattered clouds
568,Uray,RU,60.1247,64.7758,-5.6,87,100,9.95,overcast clouds
569,Brockville,CA,44.5834,-75.6826,34.0,86,90,3.8,mist
570,Vestmannaeyjar,IS,63.4427,-20.2734,44.04,75,99,17.76,overcast clouds
571,Kassala,SD,15.451,36.4,66.43,47,0,5.75,clear sky
572,Srīvardhan,IN,18.0333,73.0167,74.84,58,0,4.9,clear sky
573,Aloha,US,45.4943,-122.8671,52.0,66,20,2.35,few clouds
574,Kiruna,SE,67.8557,20.2251,14.0,85,75,4.61,broken clouds
575,Kayerkan,RU,69.3497,87.7602,-41.37,80,18,3.15,few clouds
576,Mackay,AU,-21.15,149.2,82.4,65,40,14.97,scattered clouds
577,Jaisinghnagar,IN,23.7,81.3833,43.23,58,0,2.46,clear sky
578,Tezu,IN,27.9167,96.1667,58.15,52,0,2.82,clear sky
579,Omboué,GA,-1.5746,9.2618,74.41,91,59,4.25,broken clouds
580,Nacala,MZ,-14.5428,40.6728,78.49,90,71,8.57,broken clouds
581,Jiancheng,CN,30.391,104.5491,39.0,65,0,7.0,clear sky
582,Gimli,CA,50.6336,-96.9907,30.2,86,100,10.36,light snow
583,Yayva,RU,59.3303,57.2641,6.01,73,100,5.01,light snow
584,Marystown,CA,47.1666,-55.1483,31.5,94,100,0.54,overcast clouds
585,Erdaojiang,CN,41.7764,126.0319,18.32,95,100,2.04,snow
586,Monte Patria,CL,-30.6919,-70.9467,62.42,46,0,1.39,clear sky
587,Ust-Maya,RU,60.4167,134.5333,-46.32,77,75,1.66,broken clouds
588,Masakin,TN,35.7292,10.5808,55.4,71,98,8.05,overcast clouds
589,Visnes,NO,59.3556,5.2242,23.0,86,20,6.91,few clouds
590,Cherdyn',RU,60.403,56.4787,12.16,96,100,8.25,snow
591,Gallup,US,35.5281,-108.7426,42.8,22,1,10.36,clear sky
592,Izhmorskiy,RU,56.194,86.6414,-15.45,87,100,16.26,overcast clouds
593,Vestmanna,FO,62.1564,-7.1664,33.8,100,31,1.14,scattered clouds
594,Porosozero,RU,62.7191,32.727,-15.66,89,100,5.68,overcast clouds
595,Port Shepstone,ZA,-30.7414,30.455,74.89,87,6,13.51,clear sky
596,Tutóia,BR,-2.7619,-42.2744,80.08,80,18,14.36,few clouds
597,Mullingar,IE,53.5333,-7.35,36.0,95,100,2.26,overcast clouds
598,Kozhva,RU,65.1073,57.0459,-9.98,88,100,3.89,overcast clouds
599,Plateros,MX,23.2167,-102.85,66.2,8,75,5.75,broken clouds
600,Masallātah,LY,32.6167,14.0,51.44,70,0,11.45,clear sky
601,Rantepao,ID,-2.9701,119.8978,75.22,82,100,1.95,moderate rain
602,North Bend,US,43.4065,-124.2243,60.8,72,90,8.05,overcast clouds
603,Mago,RU,53.2514,140.1822,-15.36,85,0,0.76,clear sky
604,Lamu,KE,-2.2717,40.902,77.0,88,1,8.28,mist
605,Faya,SA,18.3851,42.4509,46.4,87,0,3.22,clear sky
606,Murshidābād,IN,24.1833,88.2667,51.04,55,0,3.65,clear sky
607,Denizli Province,TR,37.8402,29.0698,30.2,100,40,2.3,mist
608,Lamar,US,33.6668,-95.5836,50.0,37,1,13.8,clear sky
609,San Angelo,US,31.4638,-100.437,51.8,32,1,11.5,clear sky
610,Pegnitz,DE,49.7564,11.545,28.4,86,75,2.3,broken clouds
611,Maseru,LS,-29.3167,27.4833,63.61,85,63,7.25,moderate rain
612,Fort Carson,US,38.7375,-104.7889,28.0,39,1,13.8,clear sky
613,Vargem Grande,BR,-3.5431,-43.9158,74.55,91,80,3.78,light rain
614,Harper,LR,4.375,-7.7169,78.53,85,56,7.38,broken clouds
615,Cabo San Lucas,MX,22.8909,-109.9124,75.2,25,1,3.44,clear sky
616,Eufaula,US,31.8913,-85.1455,51.01,71,1,7.83,clear sky
617,Anito,PH,12.4497,125.2886,81.3,76,100,7.07,overcast clouds
618,Øksfjord,NO,70.2396,22.3479,33.8,86,75,3.44,light snow
619,Kumluca,TR,36.3703,30.2869,52.05,45,0,3.11,clear sky
620,Salekhard,RU,66.53,66.6019,-5.33,83,100,7.56,overcast clouds
621,Kantemirovka,RU,49.7089,39.8592,13.42,95,97,4.43,overcast clouds
622,Banjar,ID,-8.19,114.9675,82.4,89,75,8.05,broken clouds
623,Kieta,PG,-6.2167,155.6333,86.09,61,100,2.84,overcast clouds
624,Aleksandrov Gay,RU,50.147,48.5704,26.91,98,100,11.41,overcast clouds
625,Daniel Flores,CR,9.3355,-83.6694,70.29,82,58,1.83,broken clouds
626,Chesma,RU,53.8111,60.6533,-2.96,92,100,7.76,overcast clouds
627,Saint Stephen,GB,50.3333,-4.9,44.6,87,20,11.5,few clouds
628,Beringovskiy,RU,63.05,179.3167,-15.93,88,28,9.33,scattered clouds
629,Yulara,AU,-25.2406,130.9889,86.0,25,98,20.71,overcast clouds
630,Minsk,BY,53.9,27.5667,10.4,92,90,11.18,light snow
631,Mogadishu,SO,2.0371,45.3438,76.35,84,75,17.0,broken clouds
632,Atasū,KZ,48.6814,71.6433,-3.17,83,0,12.88,clear sky
633,Am Timan,TD,11.0297,20.2827,67.06,24,0,6.35,clear sky
634,Saint-Pierre,RE,-21.3393,55.4781,77.0,78,40,4.61,scattered clouds
635,Samaná,DO,19.2056,-69.3369,74.71,88,60,4.83,broken clouds
636,Malindi,KE,-3.2175,40.1191,75.88,86,94,6.69,overcast clouds
637,Mayo,US,38.8876,-76.5119,39.2,81,1,3.65,clear sky
638,Arrondissement de Meaux,FR,48.9167,3.0,36.0,92,100,8.01,overcast clouds
639,‘Āhuimanu,US,21.4447,-157.8378,82.4,73,40,9.22,scattered clouds
640,Xishan,CN,27.6667,113.5,35.6,93,0,0.4,fog
641,Tripoli,LY,32.8752,13.1875,56.25,58,0,14.76,clear sky
642,Takayama,JP,36.1333,137.25,44.01,93,20,1.14,few clouds
643,Bidor,MY,4.1139,101.2884,73.4,94,20,6.91,few clouds
644,Nyaunglebin,MM,17.95,96.7333,62.53,73,0,3.67,clear sky
645,Halifax,CA,44.6453,-63.5724,37.4,93,100,4.61,overcast clouds
646,Bozoum,CF,6.3193,16.3799,66.72,25,77,2.86,broken clouds
647,Barreirinhas,BR,-2.7469,-42.8264,78.13,81,91,8.88,overcast clouds
648,Shitanjing,CN,39.2342,106.3439,17.38,75,100,12.57,overcast clouds
649,Moerai,PF,-22.4333,-151.3333,79.45,71,100,11.48,overcast clouds
650,Maridi,SS,4.9158,29.4742,73.99,26,100,3.24,overcast clouds
651,Garchitorena,PH,13.8804,123.6946,79.43,87,43,12.01,scattered clouds
652,Mbumi,TZ,-7.9058,39.2105,73.24,94,53,2.37,broken clouds
653,Sørland,NO,67.667,12.6934,39.15,71,95,9.6,overcast clouds
654,San Policarpo,PH,12.1791,125.5072,80.51,81,100,7.99,overcast clouds
655,Sept-Îles,CA,50.2001,-66.3821,28.4,86,5,1.14,clear sky
656,Ashland,US,40.8167,-82.2665,41.0,65,1,10.36,clear sky
657,Khasan,RU,42.4308,130.6434,24.37,98,100,3.49,light snow
658,Mokhotlong,LS,-29.2894,29.0675,58.71,81,100,2.1,light rain
659,Novy Urengoy,RU,66.0833,76.6333,-4.23,92,100,7.4,overcast clouds
660,Svetlaya,RU,46.5389,138.3297,8.19,77,62,5.48,broken clouds
661,Redmond,US,47.674,-122.1215,48.99,66,61,3.02,broken clouds
662,Malanje,AO,-9.5402,16.341,60.33,97,95,7.38,overcast clouds
663,Beloha,MG,-25.1667,45.05,75.0,91,58,8.32,broken clouds
664,Vallenar,CL,-28.5708,-70.7581,66.65,54,0,2.06,clear sky
665,Verkhnedneprovskiy,RU,54.9813,33.3457,-5.96,91,100,3.89,overcast clouds
666,Ossora,RU,59.2353,163.0719,-10.64,86,26,4.88,scattered clouds
667,Lengshuitan,CN,26.4111,111.5956,55.0,39,0,0.43,clear sky
668,Grand Forks,US,47.9417,-97.4337,32.0,93,90,19.57,light snow
669,Anloga,GH,5.7947,0.8973,80.6,89,40,6.91,scattered clouds
670,Mahibadhoo,MV,3.7833,72.9667,80.82,75,98,10.49,overcast clouds
671,Cosío,MX,22.35,-102.3,55.27,31,100,6.2,overcast clouds
672,Curup,ID,-3.4667,102.5333,72.55,84,69,2.13,broken clouds
673,Glamoč,BA,44.0458,16.8486,28.0,52,51,5.99,broken clouds
674,Rio Negro,BR,-26.1058,-49.7975,61.0,97,100,3.0,overcast clouds
675,Mehrān,IR,33.1222,46.1646,50.0,14,90,11.5,overcast clouds
676,Östersund,SE,63.1792,14.6357,5.0,92,92,3.44,overcast clouds
677,Tommot,RU,58.9564,126.2925,-18.89,85,99,0.96,overcast clouds
678,Pinotepa Nacional,MX,16.3167,-98.0167,74.35,85,100,0.67,overcast clouds
679,Ayagoz,KZ,47.9714,80.4392,-12.69,82,0,12.37,clear sky
680,Gazojak,TM,41.1875,61.4036,40.95,65,0,14.97,clear sky
681,Kumul,CN,42.8,93.45,12.92,83,0,8.63,clear sky
682,Lahat,ID,-3.8,103.5333,76.15,86,97,1.25,overcast clouds
683,Ucluelet,CA,48.9329,-125.5528,54.0,43,90,14.97,overcast clouds
684,Mount Isa,AU,-20.7333,139.5,95.0,24,18,9.22,few clouds
685,Naze,JP,28.3667,129.4833,66.2,63,20,13.8,few clouds
686,Coquimbo,CL,-29.9533,-71.3436,60.8,77,20,11.5,few clouds
687,Lagoa,PT,39.05,-27.9833,62.04,87,100,29.48,overcast clouds
688,Avera,US,33.194,-82.5271,46.4,66,1,5.75,clear sky
689,Palmerston,AU,-12.486,130.9833,84.0,83,75,4.61,broken clouds
690,Tromsø,NO,69.6496,18.957,33.8,93,75,6.91,snow
691,Laguna,US,38.421,-121.4238,57.2,67,1,3.44,clear sky
692,Trud,BG,42.2333,24.7333,35.01,64,75,23.02,broken clouds
693,Bemidji,US,47.4736,-94.8803,34.0,100,90,8.05,light snow
694,Biak,ID,-0.9131,122.8766,81.84,74,100,0.74,light rain
695,Csákvár,HU,47.3918,18.465,32.0,62,0,8.01,clear sky
696,Nisibis,TR,37.0778,41.2178,46.4,87,90,4.61,overcast clouds
697,Bonthe,SL,7.5264,-12.505,78.37,88,1,6.89,clear sky
